# X60418  d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__; g__; s__
# KY471008    d__Bacteria; p__Desulfobacterota; c__; o__; f__; g__; s__
# AM072763    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
# CP001022    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
# DQ019165    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
# AB105164    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
# DQ019164    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
# AY864633    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
DQ019167    d__Bacteria; p__Firmicutes; c__Bacilli; o__Caryophanales; f__; g__; s__
Z36296  d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
AB298771    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
AJ251215    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
KJ420408    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
LM999901    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
AF050099    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
FR851323    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
AF016691    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
HM587321    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
JN837487    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
GQ461828    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
AF358114    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
L11305  d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
AJ404680    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
AB598276    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
AF433166    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
AB218661    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
U21809  d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
EF190921    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
AY064218    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
AF203703    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
AY673988    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
AY061974    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
GU584133    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
AB061441    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
AF343566    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
AY936496    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
CP002344    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
AB454087    d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__; s__
CP002360    d__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__; g__; s__
